"GeneSymbol","log2FC_db_dw","pvalue","alias","Entrez","log2FC_hallock","pval_hallock","fdr_hallock"
"HTR1B",2.5193267,8.85e-25,"","25075",1.2058906301492,0.0285715046080316,0.1859510582982
"CCND1",1.4953775,1.45e-24,"","58919",0.105476221729284,0.621010338825924,0.825565742015519
"PTGS2",2.4685276,2.83e-24,"COX-2|Cox2","29527",4.03120019824025,1.43390614338406e-05,0.00159459714706112
"TMEM65",1.164343,6.48e-24,"RGD1563224","500874",0.229906686188602,0.0553909332968496,0.263087996930858
"RASSF8",2.6404998,6.48e-24,"RGD1308820","312846",-0.1514462100398,0.548216025573816,0.783515842375597
"MTMR12",1.8788508,1.05e-23,"Pip3ap","310155",0.259641573328594,0.157788114187299,0.43885556510813
"CNGA4",3.2149022,1.55e-23,"Cgn2|rOCNC2","85258",-0.125346327518267,0.70466717331542,0.869586661645928
"RTN4RL1",1.703219,3.08e-23,"Ngrh2","303311",-0.00130299947563691,0.995512983958043,0.997733689975703
"MMP10",3.6014867,3.49e-23,"","117061",NA,NA,NA
"MMP9",3.1567497,4.16e-23,"","81687",-0.537308053547051,0.215107975662301,0.509003803937358
"FAM102B",1.0435205,5.39e-23,"RGD1310037","365903",-0.0261284208516134,0.92630834403601,0.971911402242244
"RNF217",1.0695094,7.63e-23,"Ibrdc1","292188",1.07022874393694,2.95590364992654e-08,1.68010279124435e-05
"ZYX",1.2675476,1.46e-22,"","114636",0.647182655655495,0.00116050676747433,0.0290833097611238
"TRIB1",1.8991559,2.54e-22,"Gig2","78969",1.5033958489813,2.81607104679721e-10,4.11588898282604e-07
"GPAT3",1.9999765,2.57e-22,"Agpat9","305166",0.506003444529501,0.0716987892278495,0.298798498000052
"MYO1E",1.7415842,3.58e-22,"MYR5|Myr3","25484",0.792843191184146,0.00252756632922432,0.0468045812023421
"SERPINB2",3.5841072,5.2e-22,"Pai2a","60325",2.81536100527716,5.45462732379187e-05,0.00400678611666293
"DBNDD1",-1.8708739,1.08e-21,"RGD1310008","361437",-0.0466628829985864,0.724030307043239,0.879757015600876
"B3GNT7",-1.2929933,1.67e-21,"","316583",0.875002850303841,0.134980304986284,0.405813546962878
